sep=,
FREQ_4,y001,x001,z001,q001,y002,x002,z002,q002,y003,x003,z003,q003,y004,x004,z004,q004,y005,x005,z005,q005,y006,x006,z006,q006
1960/03/31,1.5972506411,0.1486967769,0.9963042786,0.0909403632,1.6373032400,0.2284495375,0.9852444313,0.1815232662,1.6653877609,0.3020576315,0.9669022061,0.2713930501,1.3493521367,0.3697305651,0.9414131787,0.3601976492,1.3718823498,0.4320197961,0.9089657497,0.4475903652,1.3865777325,0.4897249001,0.8697997524,0.5332316142
1960/06/30,1.6852387625,0.2213886049,0.9936910321,0.1645232662,1.7257307228,0.2978548706,0.9789763942,0.2543930501,1.7509919716,0.3676672802,0.9570404913,0.3431976492,1.3894528427,0.4311973937,0.9280454613,0.4305903652,1.4053750241,0.4891404468,0.8922056193,0.5162316142,1.4136299583,0.5424134575,0.8497858735,0.5997906375
1960/09/30,1.7560695545,0.2918127216,0.9892444313,0.2373930501,1.7910340486,0.3642678303,0.9709022061,0.3261976492,1.8090768400,0.4296544007,0.9454131787,0.4135903652,1.4236870864,0.4885115684,0.9129657497,0.4992316142,1.4325808894,0.5416794878,0.8737997524,0.5827906375,1.4341331636,0.5901900807,0.8282046800,0.6639471686
1960/12/31,1.8154607470,0.3591814003,0.9829763942,0.3091976492,1.8418995575,0.4269703515,0.9610404913,0.3965903652,1.8505723375,0.4873835033,0.9320454613,0.4822316142,1.4514365533,0.5411301751,0.8962056193,0.5657906375,1.4530399038,0.5891936243,0.8537858735,0.6469471686,1.4477910760,0.6327152550,0.8050997669,0.7253930471
1961/03/31,1.8652694918,0.4227675905,0.9749022061,0.3795903652,1.8813835624,0.4853202184,0.9494131787,0.4652316142,1.8794230861,0.5403077727,0.9169657497,0.5487906375,1.4722391984,0.5886091711,0.8777997524,0.6299471686,1.4664591698,0.6313458094,0.8322046800,0.7083930471,1.4544806315,0.6697601664,0.7805175460,0.7838337710
1961/06/30,1.9057673617,0.4819207685,0.9650404913,0.4482316142,1.9104241471,0.5387647798,0.9360454613,0.5317906375,1.8971023392,0.5879802926,0.9002056193,0.6129471686,1.4858019295,0.6306118397,0.8577858735,0.6913930471,1.4727207441,0.6679107361,0.8090997669,0.7668337710,1.4542547425,0.7012091257,0.7545071602,0.8389899810
1961/09/30,1.9366285870,0.5360807305,0.9534131787,0.5147906375,1.9291345041,0.5868522275,0.9209657497,0.5959471686,1.9041077012,0.6300625270,0.8817997524,0.6743930471,1.4920084142,0.6669142796,0.8362046800,0.7498337710,1.4718843525,0.6987772275,0.7845175460,0.8219899810,1.4473399010,0.7270588452,0.7271203928,0.8905988680
1961/12/31,1.9573880306,0.5847889427,0.9400454613,0.5789471686,1.9373944339,0.6292401246,0.9042056193,0.6573930471,1.9006396848,0.6663298264,0.8617858735,0.7328337710,1.4909217733,0.6974077820,0.8130997669,0.8049899810,1.4641849234,0.7239474722,0.7585071602,0.8735988680,1.4341286864,0.7474146069,0.6984115715,0.9384154976
1962/03/31,1.9676568588,0.6276971317,0.9249657497,0.6403930471,1.9351220513,0.6657009480,0.8857997524,0.7158337710,1.8869084193,0.6966738123,0.8402046800,0.7879899810,1.4827820772,0.7220980419,0.7885175460,0.8565988680,1.4500250112,0.7435331404,0.7311203928,0.9214154976,1.4151673995,0.7624834530,0.6684374682,0.9822140440
1962/06/30,1.9672251977,0.6645728828,0.9082056193,0.6988337710,1.9223974467,0.6961244996,0.8657858735,0.7709899810,1.8632688511,0.7211015855,0.8170997669,0.8395988680,1.4679987167,0.7411012422,0.7625071602,0.9044154976,1.4299623328,0.7577485143,0.7024115715,0.9652140440,1.3911391908,0.7725646149,0.6372571938,1.0217889281
1962/09/30,1.9561097825,0.6953020972,0.8897997524,0.7539899810,1.8995155375,0.7205171322,0.8442046800,0.8225988680,1.8302746646,0.7397317967,0.7925175460,0.8874154976,1.4471378686,0.7546371414,0.7351203928,0.9482140440,1.4046927824,0.7669008494,0.6724374682,1.0047889281,1.3628431831,0.7780374815,0.6049320893,1.0569558535
1962/12/31,1.9345726527,0.7198882538,0.8697858735,0.8055988680,1.8670029414,0.7389978270,0.8210997669,0.8704154976,1.7886917238,0.7527877111,0.7665071602,0.9312140440,1.4209054277,0.7630193829,0.7064115715,0.9877889281,1.3750294310,0.7713782672,0.6412571938,1.0399558535,1.3311702121,0.7793474777,0.5715256121,1.0875527347
1963/03/31,1.9031226905,0.7384485143,0.8482046800,0.8534154976,1.8256147406,0.7517912546,0.7965175460,0.9142140440,1.7394897044,0.7605874848,0.7391203928,0.9707889281,1.3901259070,0.7666433285,0.6764374682,1.0229558535,1.3418781313,0.7716355512,0.6089320893,1.0705527347,1.2970759068,0.7769902860,0.5371032185,1.1134405142
1963/06/30,1.8625055063,0.7512068014,0.8250997669,0.8972140440,1.7763185925,0.7592180393,0.7705071602,0.9537889281,1.6838207409,0.7635319556,0.7104115715,1.0059558535,1.3557179304,0.7659717858,0.6452571938,1.0535527347,1.3062104529,0.7681782813,0.5755256121,1.0964405142,1.2615519129,0.7714948926,0.5017322432,1.1345038633
