sep=,
FREQ_4,y001,p001,cap001,x001,cost001,regime001,y002,p002,cap002,x002,cost002,regime002,y003,p003,cap003,x003,cost003,regime003,y004,p004,cap004,x004,cost004,regime004,y005,p005,cap005,x005,cost005,regime005,y006,p006,cap006,x006,cost006,regime006,y007,p007,cap007,x007,cost007,regime007,y008,p008,cap008,x008,cost008,regime008,aggregate
2000/03/31,1.7150000000,0.6872250052,1.7150000000,1.0026963565,0.4299750052,1.0000000000,1.7300000000,0.6994000833,1.7300000000,1.0053708872,0.4399000833,1.0000000000,1.7450000000,0.7115254216,1.3960000000,1.0080019431,0.4497754216,-1.0000000000,1.7600000000,0.7236013316,1.7600000000,1.0105682270,0.4596013316,1.0000000000,1.7750000000,0.7356282484,1.7750000000,1.0130489660,0.4693782484,1.0000000000,1.7900000000,0.7476067298,1.4320000000,1.0154240797,0.4791067298,-1.0000000000,1.8050000000,0.7595374543,1.8050000000,1.0176743427,0.4887874543,1.0000000000,1.8200000000,0.7714212199,1.8200000000,1.0197815402,0.4984212199,1.0000000000,1.6791250000
2000/06/30,1.7190000000,0.6877500833,1.7190000000,1.0073708872,0.4299000833,1.0000000000,1.7340000000,0.6998754216,1.7340000000,1.0100019431,0.4397754216,1.0000000000,1.7490000000,0.7119513316,1.3992000000,1.0125682270,0.4496013316,-1.0000000000,1.7640000000,0.7239782484,1.7640000000,1.0150489660,0.4593782484,1.0000000000,1.7790000000,0.7359567298,1.7790000000,1.0174240797,0.4691067298,1.0000000000,1.7940000000,0.7478874543,1.4352000000,1.0196743427,0.4787874543,-1.0000000000,1.8090000000,0.7597712199,1.8090000000,1.0217815402,0.4884212199,1.0000000000,1.8240000000,0.7716089420,1.8240000000,1.0237286152,0.4980089420,1.0000000000,1.6829250000
2000/09/30,1.7230000000,0.6882254216,1.7230000000,1.0120019431,0.4297754216,1.0000000000,1.7380000000,0.7003013316,1.7380000000,1.0145682270,0.4396013316,1.0000000000,1.7530000000,0.7123282484,1.4024000000,1.0170489660,0.4493782484,-1.0000000000,1.7680000000,0.7243067298,1.7680000000,1.0194240797,0.4591067298,1.0000000000,1.7830000000,0.7362374543,1.7830000000,1.0216743427,0.4687874543,1.0000000000,1.7980000000,0.7481212199,1.4384000000,1.0237815402,0.4784212199,-1.0000000000,1.8130000000,0.7599589420,1.8130000000,1.0257286152,0.4880089420,1.0000000000,1.8280000000,0.7717516512,1.8280000000,1.0274998073,0.4975516512,1.0000000000,1.6867250000
2000/12/31,1.7270000000,0.6886513316,1.7270000000,1.0165682270,0.4296013316,1.0000000000,1.7420000000,0.7006782484,1.7420000000,1.0190489660,0.4393782484,1.0000000000,1.7570000000,0.7126567298,1.4056000000,1.0214240797,0.4491067298,-1.0000000000,1.7720000000,0.7245874543,1.7720000000,1.0236743427,0.4587874543,1.0000000000,1.7870000000,0.7364712199,1.7870000000,1.0257815402,0.4684212199,1.0000000000,1.8020000000,0.7483089420,1.4416000000,1.0277286152,0.4780089420,-1.0000000000,1.8170000000,0.7601016512,1.8170000000,1.0294998073,0.4875516512,1.0000000000,1.8320000000,0.7718504904,1.8320000000,1.0310807794,0.4970504904,1.0000000000,1.6905250000
2001/03/31,1.7310000000,0.6890282484,1.7310000000,1.0210489660,0.4293782484,1.0000000000,1.7460000000,0.7010067298,1.7460000000,1.0234240797,0.4391067298,1.0000000000,1.7610000000,0.7129374543,1.4088000000,1.0256743427,0.4487874543,-1.0000000000,1.7760000000,0.7248212199,1.7760000000,1.0277815402,0.4584212199,1.0000000000,1.7910000000,0.7366589420,1.7910000000,1.0297286152,0.4680089420,1.0000000000,1.8060000000,0.7484516512,1.4448000000,1.0314998073,0.4775516512,-1.0000000000,1.8210000000,0.7602004904,1.8210000000,1.0330807794,0.4870504904,1.0000000000,1.8360000000,0.7719067123,1.8360000000,1.0344587342,0.4965067123,1.0000000000,1.6943250000
2001/06/30,1.7350000000,0.6893567298,1.7350000000,1.0254240797,0.4291067298,1.0000000000,1.7500000000,0.7012874543,1.7500000000,1.0276743427,0.4387874543,1.0000000000,1.7650000000,0.7131712199,1.4120000000,1.0297815402,0.4484212199,-1.0000000000,1.7800000000,0.7250089420,1.7800000000,1.0317286152,0.4580089420,1.0000000000,1.7950000000,0.7368016512,1.7950000000,1.0334998073,0.4675516512,1.0000000000,1.8100000000,0.7485504904,1.4480000000,1.0350807794,0.4770504904,-1.0000000000,1.8250000000,0.7602567123,1.8250000000,1.0364587342,0.4865067123,1.0000000000,1.8400000000,0.7719216760,1.8400000000,1.0376225179,0.4959216760,1.0000000000,1.6981250000
2001/09/30,1.7390000000,0.6896374543,1.7390000000,1.0296743427,0.4287874543,1.0000000000,1.7540000000,0.7015212199,1.7540000000,1.0317815402,0.4384212199,1.0000000000,1.7690000000,0.7133589420,1.4152000000,1.0337286152,0.4480089420,-1.0000000000,1.7840000000,0.7251516512,1.7840000000,1.0354998073,0.4575516512,1.0000000000,1.7990000000,0.7369004904,1.7990000000,1.0370807794,0.4670504904,1.0000000000,1.8140000000,0.7486067123,1.4512000000,1.0384587342,0.4765067123,-1.0000000000,1.8290000000,0.7602716760,1.8290000000,1.0396225179,0.4859216760,1.0000000000,1.8440000000,0.7718968437,1.8440000000,1.0405627102,0.4952968437,1.0000000000,1.7019250000
2001/12/31,1.7430000000,0.6898712199,1.7430000000,1.0337815402,0.4284212199,1.0000000000,1.7580000000,0.7017089420,1.7580000000,1.0357286152,0.4380089420,1.0000000000,1.7730000000,0.7135016512,1.4184000000,1.0374998073,0.4475516512,-1.0000000000,1.7880000000,0.7252504904,1.7880000000,1.0390807794,0.4570504904,1.0000000000,1.8030000000,0.7369567123,1.8030000000,1.0404587342,0.4665067123,1.0000000000,1.8180000000,0.7486216760,1.4544000000,1.0416225179,0.4759216760,-1.0000000000,1.8330000000,0.7602468437,1.8330000000,1.0425627102,0.4852968437,1.0000000000,1.8480000000,0.7718337774,1.8480000000,1.0432717007,0.4946337774,1.0000000000,1.7057250000
2002/03/31,1.7470000000,0.6900589420,1.7470000000,1.0377286152,0.4280089420,1.0000000000,1.7620000000,0.7018516512,1.4096000000,1.0394998073,0.4375516512,-1.0000000000,1.7770000000,0.7136004904,1.7770000000,1.0410807794,0.4470504904,1.0000000000,1.7920000000,0.7253067123,1.7920000000,1.0424587342,0.4565067123,1.0000000000,1.8070000000,0.7369716760,1.4456000000,1.0436225179,0.4659216760,-1.0000000000,1.8220000000,0.7485968437,1.8220000000,1.0445627102,0.4752968437,1.0000000000,1.8370000000,0.7601837774,1.8370000000,1.0452717007,0.4846337774,1.0000000000,1.8520000000,0.7717341342,1.4816000000,1.0457437504,0.4939341342,-1.0000000000,1.6639750000
2002/06/30,1.7510000000,0.6902016512,1.7510000000,1.0414998073,0.4275516512,1.0000000000,1.7660000000,0.7019504904,1.4128000000,1.0430807794,0.4370504904,-1.0000000000,1.7810000000,0.7136567123,1.7810000000,1.0444587342,0.4465067123,1.0000000000,1.7960000000,0.7253216760,1.7960000000,1.0456225179,0.4559216760,1.0000000000,1.8110000000,0.7369468437,1.4488000000,1.0465627102,0.4652968437,-1.0000000000,1.8260000000,0.7485337774,1.8260000000,1.0472717007,0.4746337774,1.0000000000,1.8410000000,0.7600841342,1.8410000000,1.0477437504,0.4839341342,1.0000000000,1.8560000000,0.7715996629,1.4848000000,1.0479750384,0.4931996629,-1.0000000000,1.6676750000
2002/09/30,1.7550000000,0.6903004904,1.7550000000,1.0450807794,0.4270504904,1.0000000000,1.7700000000,0.7020067123,1.4160000000,1.0464587342,0.4365067123,-1.0000000000,1.7850000000,0.7136716760,1.7850000000,1.0476225179,0.4459216760,1.0000000000,1.8000000000,0.7252968437,1.8000000000,1.0485627102,0.4552968437,1.0000000000,1.8150000000,0.7368837774,1.4520000000,1.0492717007,0.4646337774,-1.0000000000,1.8300000000,0.7484341342,1.8300000000,1.0497437504,0.4739341342,1.0000000000,1.8450000000,0.7599496629,1.8450000000,1.0499750384,0.4831996629,1.0000000000,1.8600000000,0.7714321994,1.4880000000,1.0499636923,0.4924321994,-1.0000000000,1.6713750000
2002/12/31,1.7590000000,0.6903567123,1.7590000000,1.0484587342,0.4265067123,1.0000000000,1.7740000000,0.7020216760,1.4192000000,1.0496225179,0.4359216760,-1.0000000000,1.7890000000,0.7136468437,1.7890000000,1.0505627102,0.4452968437,1.0000000000,1.8040000000,0.7252337774,1.8040000000,1.0512717007,0.4546337774,1.0000000000,1.8190000000,0.7367841342,1.4552000000,1.0517437504,0.4639341342,-1.0000000000,1.8340000000,0.7482996629,1.8340000000,1.0519750384,0.4731996629,1.0000000000,1.8490000000,0.7597821994,1.8490000000,1.0519636923,0.4824321994,1.0000000000,1.8640000000,0.7712336618,1.4912000000,1.0517098041,0.4916336618,-1.0000000000,1.6750750000
