sep=,
FREQ_4,y001,x001,y002,x002,y003,x003,y004,x004,y005,x005,y006,x006,y007,x007,y008,x008
2000/03/31,1.0040000000,0.4503998933,1.0080000000,0.4507991469,1.0120000000,0.4511971221,1.0160000000,0.4515931821,1.0200000000,0.4519866933,1.0240000000,0.4523770263,1.0280000000,0.4527635565,1.0320000000,0.4531456656
2000/06/30,1.0060000000,0.4512991469,1.0100000000,0.4516971221,1.0140000000,0.4520931821,1.0180000000,0.4524866933,1.0220000000,0.4528770263,1.0260000000,0.4532635565,1.0300000000,0.4536456656,1.0340000000,0.4540227423
2000/09/30,1.0080000000,0.4521971221,1.0120000000,0.4525931821,1.0160000000,0.4529866933,1.0200000000,0.4533770263,1.0240000000,0.4537635565,1.0280000000,0.4541456656,1.0320000000,0.4545227423,1.0360000000,0.4548941834
2000/12/31,1.0100000000,0.4530931821,1.0140000000,0.4534866933,1.0180000000,0.4538770263,1.0220000000,0.4542635565,1.0260000000,0.4546456656,1.0300000000,0.4550227423,1.0340000000,0.4553941834,1.0380000000,0.4557593947
2001/03/31,1.0120000000,0.4539866933,1.0160000000,0.4543770263,1.0200000000,0.4547635565,1.0240000000,0.4551456656,1.0280000000,0.4555227423,1.0320000000,0.4558941834,1.0360000000,0.4562593947,1.0400000000,0.4566177918
2001/06/30,1.0140000000,0.4548770263,1.0180000000,0.4552635565,1.0220000000,0.4556456656,1.0260000000,0.4560227423,1.0300000000,0.4563941834,1.0340000000,0.4567593947,1.0380000000,0.4571177918,1.0420000000,0.4574688014
2001/09/30,1.0160000000,0.4557635565,1.0200000000,0.4561456656,1.0240000000,0.4565227423,1.0280000000,0.4568941834,1.0320000000,0.4572593947,1.0360000000,0.4576177918,1.0400000000,0.4579688014,1.0440000000,0.4583118620
2001/12/31,1.0180000000,0.4566456656,1.0220000000,0.4570227423,1.0260000000,0.4573941834,1.0300000000,0.4577593947,1.0340000000,0.4581177918,1.0380000000,0.4584688014,1.0420000000,0.4588118620,1.0460000000,0.4591464247
2002/03/31,1.0200000000,0.4575227423,1.0240000000,0.4578941834,1.0280000000,0.4582593947,1.0320000000,0.4586177918,1.0360000000,0.4589688014,1.0400000000,0.4593118620,1.0440000000,0.4596464247,1.0480000000,0.4599719544
2002/06/30,1.0220000000,0.4583941834,1.0260000000,0.4587593947,1.0300000000,0.4591177918,1.0340000000,0.4594688014,1.0380000000,0.4598118620,1.0420000000,0.4601464247,1.0460000000,0.4604719544,1.0500000000,0.4607879302
