sep=,
FREQ_1,cn,g,i,k,p,w1,y,t,time,w2
1920/12/31,39.8,4.6,2.7,182.8,12.7,28.8,43.7,3.4,NA,2.2
1921/12/31,41.9,6.6,-0.2,182.6,12.4,25.5,40.6,7.7,-10,2.7
1922/12/31,45,6.1,1.9,184.5,16.9,29.3,49.1,3.9,-9,2.9
1923/12/31,49.2,5.7,5.2,189.7,18.4,34.1,55.4,4.7,-8,2.9
1924/12/31,50.6,6.6,3,192.7,19.4,33.9,56.4,3.8,-7,3.1
1925/12/31,52.6,6.5,5.1,197.8,20.1,35.4,58.7,5.5,-6,3.2
1926/12/31,55.1,6.6,5.6,203.4,19.6,37.4,60.3,7,-5,3.3
1927/12/31,56.2,7.6,4.2,207.6,19.8,37.9,61.3,6.7,-4,3.6
1928/12/31,57.3,7.9,3,210.6,21.1,39.2,64,4.2,-3,3.7
1929/12/31,57.8,8.1,5.1,215.7,21.7,41.3,67,4,-2,4
1930/12/31,55,9.4,1,216.7,15.6,37.9,57.7,7.7,-1,4.2
1931/12/31,50.9,10.7,-3.4,213.3,11.4,34.5,50.7,7.5,0,4.8
1932/12/31,45.6,10.2,-6.2,207.1,7,29,41.3,8.3,1,5.3
1933/12/31,46.5,9.3,-5.1,202,11.2,28.5,45.3,5.4,2,5.6
1934/12/31,48.7,10,-3,199,12.3,30.6,48.9,6.8,3,6
1935/12/31,51.3,10.5,-1.3,197.7,14,33.2,53.3,7.2,4,6.1
1936/12/31,57.7,10.3,2.1,199.8,17.6,36.8,61.8,8.3,5,7.4
1937/12/31,58.7,11,2,201.8,17.3,41,65,6.7,6,6.7
1938/12/31,57.5,13,-1.9,199.9,15.3,38.2,61.2,7.4,7,7.7
1939/12/31,61.6,14.4,1.3,201.2,19,41.6,68.4,8.9,8,7.8
1940/12/31,65,15.4,3.3,204.5,21.1,45,74.1,9.6,9,8
1941/12/31,69.7,22.3,4.9,209.4,23.5,53.3,85.3,11.6,10,8.5
